question,response,country
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,5,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,4,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,4,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,4,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,4,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,5,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,4,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,5,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,5,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,1,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,4,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,4,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,5,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,3,Burkina Faso
45,4,Burkina Faso
45,4,Burkina Faso
45,4,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,2,Burkina Faso
45,1,Burkina Faso
