question,response,country
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,4,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,4,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,4,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,4,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,4,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,4,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,4,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,4,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,4,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,4,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,5,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,4,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,5,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,4,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,5,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,5,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,5,Burkina Faso
46,5,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,5,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,6,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,3,Burkina Faso
46,4,Burkina Faso
46,4,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,2,Burkina Faso
46,1,Burkina Faso
